LocusTag,Function
JCVISYN3A_0044,DNA polymerase III subunit delta
JCVISYN3A_0652,Preprotein translocase subunit
JCVISYN3A_0054,Uncharacterized peroxiredoxin
JCVISYN3A_0428,Phosphate transport system regulatory protein
JCVISYN3A_0063,Uncharacterized tRNA dihydrouridine synthase
JCVISYN3A_0289,Ribosome-binding factor A
JCVISYN3A_0840,Antitermination protein
JCVISYN3A_0932,50S ribosomal protein L33
JCVISYN3A_0804,DNA-directed RNA polymerase subunit beta
JCVISYN3A_0821,HPr(Ser) kinase/phosphatase
JCVISYN3A_0005,Uncharacterized protein
JCVISYN3A_0664,50S ribosomal protein L16
